AtCoder の提出結果一覧表

[終了コード],説明
9,TLE
136,ゼロ除算/ゼロ剰余
139,配列への範囲外アクセス


(https://atcoder.jp/contests/abc074/glossary の内容を要約)
[ステータス (略語の意味)],正誤,説明
AC (Accepted),正,正答です。運営が用意したテストを全てパスし、正しいプログラムであると判定されました。
CE (Compilation Error),誤,提出されたプログラムのコンパイルに失敗しました。
MLE (Memory Limit Exceeded),誤,問題で指定されたメモリ制限を超えています。
TLE (Time Limit Exceeded),誤,問題で指定された実行時間以内にプログラムが終了しませんでした。
RE (Runtime Error),誤,プログラムの実行中にエラーが発生しました。コンパイル時に検知できなかったエラーがあります。スタックオーバーフロー(深すぎる再帰呼び出しなど)、ゼロ除算、配列や連想配列の存在しない要素へのアクセスなどが原因です。
OLE (Output Limit Exceeded),誤,問題で指定された制限を超えるサイズの出力を行いました。
IE (Internal Error),誤,内部のエラー、つまりジャッジシステムのエラーです。
WA (Wrong Answer),誤,誤答です。提出したプログラムの出力は正しくありません。
WJ (Waiting for Judging),未定,提出したプログラムはジャッジを待っている状態です。
WR (Waiting for Re-judging),未定,問題にミスがあった場合などで、再ジャッジを待っている状態です。
